ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
19,006,0001,190060001075,2,19-006-0001-00,00040,36,01,19006000107502,01,1,1,26,09,2018,01,0101,019,221,3,11,2019,06,0601,1,03,5
19,006,0001,190060001121,2,19-006-0001-00,00042,36,01,19006000112101,01,1,3,26,02,2016,05,0501,019,423,3,03,2018,02,0102,1,03,5
19,006,0001,190060001137,2,19-006-0001-00,00043,36,01,19006000113701,01,1,3,50,04,2015,03,0301,019,221,3,12,2019,04,0401,1,02,5
19,006,0001,190060001262,2,19-006-0001-00,00046,38,01,19006000126201,01,1,3,46,05,2019,02,0102,019,221,1,,,,,,,5
19,006,0001,190060001262,2,19-006-0001-00,00046,38,01,19006000126202,02,1,1,55,05,2019,02,0102,019,221,1,,,,,,,5
19,006,0001,190060001383,2,19-006-0001-00,00051,38,01,19006000138301,01,1,1,42,09,2016,01,0101,019,221,1,,,,,,,5
19,006,0001,190060001440,2,19-006-0001-00,00052,36,01,19006000144001,01,1,1,50,02,2016,02,0102,019,221,1,,,,,,,5
19,006,0001,190060001501,2,19-006-0001-00,00053,40,01,19006000150101,01,1,3,5,06,2016,03,0301,019,415,2,,,,,,,5
19,006,0001,190060001796,2,19-006-0001-00,00063,37,01,19006000179601,01,1,1,28,04,2015,02,0102,019,221,3,11,2017,03,0301,1,01,5
19,006,0001,190060001796,2,19-006-0001-00,00063,37,01,19006000179602,02,1,3,28,04,2015,04,0401,019,221,3,11,2017,03,0301,1,02,5
19,006,0001,190060001825,2,19-006-0001-00,00064,38,01,19006000182501,01,1,1,28,12,2018,01,0101,019,402,2,,,,,,,5
19,006,0001,190060001912,2,19-006-0001-00,00066,38,01,19006000191201,01,1,1,31,03,2019,01,0101,019,221,1,,,,,,,5
19,006,0001,190060002080,2,19-006-0001-00,00071,36,01,19006000208001,01,1,1,64,05,2015,02,0102,019,221,3,12,2019,09,0403,1,01,5
19,006,0001,190060002084,2,19-006-0001-00,00071,36,01,19006000208401,01,1,1,25,08,2015,02,0102,019,221,1,,,,,,,5
19,006,0001,190060002161,2,19-006-0001-00,00075,37,01,19006000216101,01,1,1,45,07,2019,01,0101,019,221,3,03,2020,03,0301,1,01,5
19,006,0001,190060002251,2,19-006-0001-00,00077,38,01,19006000225101,01,1,3,82,99,9999,99,9999,999,999,9,,,,,,,5
19,006,0001,190060002261,2,19-006-0001-00,00077,38,01,19006000226101,01,1,3,29,01,2019,04,0401,019,221,1,,,,,,,5
19,006,0001,190060002327,2,19-006-0001-00,00081,37,01,19006000232701,01,1,1,56,04,2017,01,0101,019,221,1,,,,,,,5
19,006,0001,190060002362,2,19-006-0001-00,00084,37,01,19006000236201,01,1,3,21,05,2016,02,0102,019,221,3,08,2016,02,0102,1,01,5
19,006,0001,190060002456,2,19-006-0001-00,00087,37,01,19006000245601,01,1,3,40,99,9999,99,9999,999,999,9,,,,,,,5
19,006,0001,190060002468,2,19-006-0001-00,00088,36,01,19006000246801,01,1,3,45,09,2015,03,0301,019,221,3,05,2018,03,0301,1,02,5
19,006,0001,190060002468,2,19-006-0001-00,00088,36,01,19006000246802,02,1,1,49,09,2015,01,0101,019,221,3,05,2018,03,0301,1,01,5
19,006,0001,190060002842,2,19-006-0001-00,00102,38,01,19006000284201,01,1,1,999,99,9999,99,9999,999,999,9,,,,,,,5
19,006,0001,190060002940,2,19-006-0001-00,00105,37,01,19006000294001,01,1,1,999,99,9999,99,9999,999,999,9,,,,,,,5
19,006,0001,190060003109,2,19-006-0001-00,00111,36,01,19006000310901,01,1,3,999,99,9999,99,9999,999,999,9,,,,,,,5
19,006,0001,190060003212,2,19-006-0001-00,00116,36,01,19006000321201,01,1,1,28,06,2015,01,0101,013,213,2,,,,,,,5
19,006,0001,190060003432,2,19-006-0001-00,00123,36,01,19006000343201,01,1,1,30,10,2015,04,0401,028,221,1,,,,,,,5
19,006,0001,190060003964,2,19-006-0001-00,00145,37,01,19006000396401,01,1,1,60,02,2016,09,0409,019,221,3,02,2017,03,0301,3,,5
19,006,0000,190060004222,2,19-006-0000-05,00008,72,01,19006000422201,02,1,1,25,02,2017,01,0101,019,221,1,,,,,,,3
19,006,0000,190060004222,2,19-006-0000-05,00008,72,01,19006000422202,01,1,1,30,05,2016,01,0101,019,221,1,,,,,,,3
19,006,0000,190060004391,2,19-006-0000-03,00012,6,01,19006000439101,01,1,3,43,01,2018,03,0301,019,221,1,,,,,,,2
19,006,0000,190060004451,2,19-006-0000-03,00008,5,01,19006000445101,01,1,1,62,10,2018,09,0304,019,221,3,12,2018,03,0301,3,,2
19,006,0000,190060004451,2,19-006-0000-03,00008,5,01,19006000445102,02,1,3,56,10,2018,03,0301,019,221,3,12,2018,09,0304,3,,2
19,006,0000,190060004546,2,19-006-0000-03,00022,5,01,19006000454601,01,1,1,26,04,2018,09,0409,019,221,1,,,,,,,1
19,006,0000,190060004679,2,19-006-0000-05,00013,65,01,19006000467901,01,1,1,22,07,2017,01,0101,019,221,1,,,,,,,3
19,006,0000,190060004754,2,19-006-0000-04,00005,21,01,19006000475401,01,1,1,35,08,2019,02,0102,019,313,3,09,2019,03,0301,1,01,2
19,007,0000,190070000123,2,19-007-0000-04,00020,3,01,19007000012301,01,1,1,41,01,2020,01,0101,019,221,1,,,,,,,2
19,007,0000,190070000374,2,19-007-0000-04,00048,3,01,19007000037401,01,1,1,60,04,2019,01,0101,019,221,1,,,,,,,2
19,007,0000,190070000395,2,19-007-0000-04,00051,4,01,19007000039501,01,1,1,28,04,2019,01,0101,019,213,2,,,,,,,2
19,007,0000,190070000429,2,19-007-0000-04,00058,3,01,19007000042901,01,1,1,39,03,2018,01,0101,019,221,1,,,,,,,2
19,007,0000,190070000468,2,19-007-0000-04,00067,4,01,19007000046801,01,1,1,30,05,2019,02,0102,019,221,1,,,,,,,2
19,007,0000,190070000472,2,19-007-0000-04,00067,4,01,19007000047201,01,1,1,18,09,2019,01,0101,019,221,1,,,,,,,2
19,007,0000,190070000521,2,19-007-0000-04,00077,3,01,19007000052101,01,1,1,21,11,2019,01,0101,019,221,1,,,,,,,2
19,007,0000,190070000605,2,19-007-0000-03,00006,3,01,19007000060501,01,1,1,20,10,2018,04,0401,999,999,9,,,,,,,1
19,007,0000,190070000874,2,19-007-0000-03,00028,3,01,19007000087401,01,1,1,29,11,2018,01,0101,019,221,3,10,2019,03,0301,1,01,1
19,007,0000,190070000885,2,19-007-0000-03,00032,3,01,19007000088501,01,1,1,24,07,2015,01,0101,019,221,1,,,,,,,1
19,007,0000,190070000927,2,19-007-0000-03,00049,4,01,19007000092701,01,1,3,15,01,2019,05,0501,019,221,3,03,2020,09,9999,3,,1
19,007,0000,190070000934,2,19-007-0000-03,00052,3,01,19007000093401,01,1,1,27,04,2019,01,0101,019,221,1,,,,,,,1
19,007,0000,190070001022,2,19-007-0000-03,00054,3,01,19007000102201,01,1,1,39,06,2019,01,0101,019,221,1,,,,,,,1
19,007,0000,190070001068,2,19-007-0000-03,00057,3,01,19007000106801,01,1,1,20,05,2016,01,0101,019,221,1,,,,,,,1
